epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,110015,2.33298,2.12888,2.45982,0.71424,0.59752,0.66572,0.46271,2.04782,1.61369,2.23452,0.008614,0.008614,0.008614
44,112571,2.32999,2.12532,2.46046,0.71388,0.59951,0.66509,0.46336,2.04473,1.61203,2.23276,0.008581,0.008581,0.008581
45,115120,2.33496,2.12848,2.45961,0.72177,0.59613,0.66552,0.46411,2.04306,1.61066,2.23151,0.008548,0.008548,0.008548
46,117670,2.3375,2.12616,2.45966,0.72184,0.59217,0.66675,0.46444,2.04232,1.60962,2.23016,0.008515,0.008515,0.008515
47,120217,2.32662,2.12051,2.45617,0.72156,0.59621,0.66638,0.46357,2.04163,1.60863,2.22881,0.008482,0.008482,0.008482
48,122776,2.32811,2.11945,2.4594,0.73,0.59164,0.66748,0.46475,2.04039,1.605,2.22919,0.008449,0.008449,0.008449
49,125333,2.33428,2.12129,2.45825,0.74007,0.58654,0.66723,0.46432,2.04063,1.60283,2.23025,0.008416,0.008416,0.008416
50,127889,2.32545,2.1196,2.45797,0.73476,0.58969,0.66859,0.46509,2.04008,1.60243,2.23048,0.008383,0.008383,0.008383
51,130439,2.3254,2.11467,2.45247,0.74012,0.58623,0.66833,0.46549,2.03906,1.60301,2.22947,0.00835,0.00835,0.00835
52,132994,2.32943,2.11362,2.45445,0.74005,0.58968,0.66706,0.46617,2.03869,1.60239,2.22888,0.008317,0.008317,0.008317
53,135549,2.32481,2.11114,2.449,0.73757,0.59234,0.66611,0.46529,2.03827,1.59932,2.22921,0.008284,0.008284,0.008284
54,138097,2.32345,2.10834,2.44871,0.73985,0.59084,0.66741,0.46573,2.0377,1.59793,2.22857,0.008251,0.008251,0.008251
55,140650,2.31622,2.11064,2.44929,0.72429,0.59616,0.66981,0.46745,2.03451,1.59789,2.22659,0.008218,0.008218,0.008218
56,143217,2.32273,2.11427,2.45539,0.72662,0.59795,0.67009,0.46859,2.03182,1.59871,2.22532,0.008185,0.008185,0.008185
57,145781,2.31762,2.10333,2.45099,0.73314,0.58681,0.6691,0.46852,2.03237,1.59635,2.22507,0.008152,0.008152,0.008152
58,148330,2.31739,2.10216,2.44656,0.7367,0.58479,0.6676,0.46756,2.0301,1.59675,2.22415,0.008119,0.008119,0.008119
59,150890,2.31416,2.10291,2.44248,0.74097,0.58721,0.66909,0.46948,2.02898,1.59416,2.22219,0.008086,0.008086,0.008086
60,153522,2.31669,2.09797,2.44648,0.73572,0.58753,0.67108,0.47038,2.02674,1.59318,2.22146,0.008053,0.008053,0.008053
61,157236,2.31487,2.09225,2.4444,0.73246,0.59111,0.67058,0.46868,2.02708,1.5923,2.22143,0.00802,0.00802,0.00802
62,160619,2.31335,2.09458,2.44204,0.73561,0.59471,0.67285,0.47007,2.02617,1.5925,2.21939,0.007987,0.007987,0.007987
63,163288,2.31304,2.09295,2.4467,0.73015,0.59839,0.67493,0.47108,2.0256,1.59073,2.21966,0.007954,0.007954,0.007954
64,166039,2.31788,2.09759,2.4479,0.72796,0.5986,0.67376,0.47056,2.0251,1.59088,2.21879,0.007921,0.007921,0.007921
65,168830,2.30846,2.08288,2.439,0.73323,0.59761,0.67522,0.47177,2.02514,1.5904,2.21891,0.007888,0.007888,0.007888
66,171388,2.31358,2.09605,2.44243,0.74218,0.59282,0.67594,0.4723,2.02352,1.59331,2.21787,0.007855,0.007855,0.007855
67,174040,2.30827,2.0857,2.43907,0.73965,0.59689,0.67717,0.47299,2.0232,1.58925,2.21751,0.007822,0.007822,0.007822
68,176678,2.30268,2.08762,2.44105,0.73541,0.5956,0.67714,0.47256,2.02274,1.5875,2.2178,0.007789,0.007789,0.007789
69,179494,2.30411,2.08416,2.43956,0.73671,0.59718,0.67887,0.47362,2.02242,1.58498,2.21763,0.007756,0.007756,0.007756
70,183211,2.31217,2.08805,2.43918,0.74387,0.59541,0.67735,0.47226,2.02336,1.58402,2.21815,0.007723,0.007723,0.007723
71,186949,2.30403,2.07623,2.43987,0.73817,0.59741,0.67612,0.47181,2.02187,1.58459,2.21683,0.00769,0.00769,0.00769
72,190661,2.30092,2.0776,2.43895,0.72953,0.60015,0.67715,0.47241,2.02132,1.58201,2.21668,0.007657,0.007657,0.007657
73,194394,2.30028,2.07753,2.43786,0.73227,0.59884,0.67645,0.47223,2.01982,1.5844,2.21517,0.007624,0.007624,0.007624
74,198125,2.29892,2.07213,2.43812,0.73032,0.59501,0.6743,0.47133,2.0169,1.5849,2.21412,0.007591,0.007591,0.007591
75,201854,2.29769,2.06908,2.43576,0.73249,0.59466,0.67403,0.47103,2.01744,1.58109,2.21441,0.007558,0.007558,0.007558
76,205591,2.2977,2.07065,2.43372,0.73174,0.59758,0.67536,0.47269,2.01754,1.57829,2.21422,0.007525,0.007525,0.007525
77,209332,2.29906,2.06901,2.43068,0.74036,0.59622,0.67613,0.4729,2.01754,1.57724,2.21341,0.007492,0.007492,0.007492
78,213076,2.29749,2.06544,2.43028,0.74166,0.59772,0.67767,0.47403,2.01735,1.57489,2.21236,0.007459,0.007459,0.007459
79,216821,2.30133,2.06351,2.43131,0.73806,0.60072,0.67759,0.47371,2.01745,1.57218,2.2119,0.007426,0.007426,0.007426
80,220559,2.29369,2.06147,2.43196,0.72176,0.60667,0.67669,0.47231,2.01733,1.57038,2.21047,0.007393,0.007393,0.007393
81,224291,2.29678,2.06054,2.43228,0.73572,0.59942,0.67958,0.47462,2.01708,1.56869,2.21002,0.00736,0.00736,0.00736
82,228032,2.29554,2.06237,2.43111,0.73034,0.60334,0.68065,0.47549,2.01688,1.56984,2.2097,0.007327,0.007327,0.007327
83,231779,2.28996,2.06169,2.43115,0.73503,0.60518,0.67943,0.47534,2.01615,1.56844,2.21016,0.007294,0.007294,0.007294
84,235516,2.28597,2.04988,2.42259,0.73855,0.60461,0.6809,0.47571,2.01668,1.566,2.21018,0.007261,0.007261,0.007261
85,239254,2.28422,2.05179,2.42487,0.74062,0.6062,0.68205,0.47689,2.01499,1.56599,2.20849,0.007228,0.007228,0.007228
86,242992,2.29372,2.04805,2.42902,0.73583,0.6063,0.68058,0.47649,2.01459,1.56635,2.20913,0.007195,0.007195,0.007195
87,246158,2.2848,2.04859,2.42663,0.73719,0.60071,0.68023,0.47655,2.01335,1.5673,2.20854,0.007162,0.007162,0.007162
88,249019,2.28463,2.05092,2.42194,0.7338,0.60536,0.68137,0.47695,2.01409,1.56654,2.20832,0.007129,0.007129,0.007129
89,251634,2.28062,2.04959,2.42659,0.73205,0.60932,0.68087,0.47607,2.01467,1.56593,2.20876,0.007096,0.007096,0.007096
90,254360,2.27757,2.04135,2.42273,0.73115,0.612,0.6806,0.47566,2.01319,1.56755,2.20788,0.007063,0.007063,0.007063
91,256966,2.27833,2.03398,2.42247,0.72652,0.61222,0.68135,0.47586,2.01085,1.5662,2.20615,0.00703,0.00703,0.00703
92,259593,2.28411,2.0438,2.42259,0.72978,0.61177,0.68167,0.47601,2.01044,1.5654,2.2069,0.006997,0.006997,0.006997
93,262317,2.27803,2.04344,2.41992,0.72912,0.61239,0.68207,0.47701,2.01077,1.56178,2.2066,0.006964,0.006964,0.006964
94,265045,2.28289,2.03841,2.42096,0.73469,0.61019,0.68471,0.47757,2.01001,1.56297,2.20627,0.006931,0.006931,0.006931
95,267883,2.27721,2.03067,2.41848,0.73531,0.60861,0.68336,0.47706,2.01011,1.562,2.20787,0.006898,0.006898,0.006898
96,271481,2.27252,2.04059,2.41609,0.73832,0.60423,0.6831,0.47653,2.01021,1.56319,2.20792,0.006865,0.006865,0.006865
97,275066,2.27765,2.03392,2.41559,0.74363,0.60881,0.68408,0.47722,2.01045,1.56114,2.2074,0.006832,0.006832,0.006832
98,278749,2.27236,2.03824,2.41666,0.73202,0.61514,0.68357,0.4765,2.01053,1.56098,2.20795,0.006799,0.006799,0.006799
99,281960,2.26851,2.03079,2.41349,0.72302,0.62233,0.68438,0.4773,2.01062,1.5606,2.2071,0.006766,0.006766,0.006766
100,284565,2.27238,2.02641,2.4165,0.72691,0.61808,0.68525,0.47847,2.00968,1.56239,2.20567,0.006733,0.006733,0.006733
101,287164,2.26883,2.02458,2.41426,0.71935,0.62305,0.68524,0.47816,2.00848,1.56153,2.20524,0.0067,0.0067,0.0067
102,289759,2.26809,2.01911,2.41004,0.73043,0.61855,0.68616,0.47758,2.00793,1.56267,2.20476,0.006667,0.006667,0.006667
103,292357,2.26689,2.02201,2.40937,0.73395,0.61643,0.68632,0.47804,2.0087,1.5586,2.20564,0.006634,0.006634,0.006634
104,294956,2.26804,2.02606,2.41538,0.73614,0.61834,0.68685,0.47875,2.00873,1.55758,2.20594,0.006601,0.006601,0.006601
105,297552,2.27048,2.02611,2.40909,0.74073,0.61544,0.68745,0.47914,2.00812,1.55407,2.20503,0.006568,0.006568,0.006568
106,300150,2.26762,2.01362,2.40876,0.73562,0.61537,0.68642,0.47936,2.00746,1.55502,2.20417,0.006535,0.006535,0.006535
107,302747,2.26147,2.0133,2.40923,0.74007,0.61135,0.68603,0.47854,2.00714,1.55449,2.20452,0.006502,0.006502,0.006502
108,305353,2.2605,2.00923,2.40898,0.74327,0.61171,0.68737,0.47928,2.00803,1.55442,2.20508,0.006469,0.006469,0.006469
109,307964,2.25944,2.00957,2.4054,0.74348,0.60791,0.68734,0.47972,2.00734,1.55634,2.20455,0.006436,0.006436,0.006436
110,310540,2.2623,2.01325,2.40069,0.75235,0.6077,0.68694,0.47947,2.00749,1.55325,2.20429,0.006403,0.006403,0.006403
111,313145,2.25726,2.00912,2.40096,0.74387,0.60963,0.68577,0.4788,2.00834,1.55156,2.20303,0.00637,0.00637,0.00637
112,315709,2.25922,2.00581,2.40476,0.74616,0.61501,0.68746,0.47951,2.00646,1.55163,2.20138,0.006337,0.006337,0.006337
113,318309,2.25405,2.00652,2.40324,0.7518,0.60697,0.68717,0.47892,2.00595,1.55098,2.20109,0.006304,0.006304,0.006304
114,320911,2.25304,2.00811,2.39963,0.75224,0.60813,0.68801,0.47922,2.00391,1.55198,2.19842,0.006271,0.006271,0.006271
115,323507,2.25397,2.00239,2.39992,0.75077,0.60278,0.68728,0.47941,2.0036,1.55124,2.19807,0.006238,0.006238,0.006238
