epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,81557.6,1.89601,1.86544,1.73808,0.71163,0.60291,0.65351,0.52052,1.71732,1.57775,1.73068,0.008614,0.008614,0.008614
44,83399.8,1.89359,1.84339,1.73151,0.66777,0.6186,0.65322,0.51937,1.71499,1.57151,1.72906,0.008581,0.008581,0.008581
45,85185.9,1.8828,1.83782,1.72935,0.6944,0.59445,0.64732,0.51684,1.7088,1.56779,1.72593,0.008548,0.008548,0.008548
46,86965.7,1.85531,1.79344,1.7274,0.66842,0.61443,0.65902,0.5269,1.69975,1.55012,1.72566,0.008515,0.008515,0.008515
47,88780.7,1.8653,1.80356,1.72641,0.68987,0.62387,0.65977,0.52766,1.69383,1.53693,1.72363,0.008482,0.008482,0.008482
48,90582.6,1.87775,1.80509,1.73364,0.70059,0.61166,0.65806,0.52643,1.69915,1.55134,1.72435,0.008449,0.008449,0.008449
49,92393.5,1.86899,1.82227,1.72526,0.68446,0.61581,0.66482,0.53109,1.69435,1.53574,1.72239,0.008416,0.008416,0.008416
50,94218.5,1.86411,1.7871,1.72351,0.69083,0.61101,0.66214,0.52816,1.69045,1.53786,1.72338,0.008383,0.008383,0.008383
51,96046.6,1.84834,1.76062,1.72225,0.70217,0.61297,0.66897,0.53538,1.69214,1.5228,1.72291,0.00835,0.00835,0.00835
52,97869,1.86407,1.77201,1.7221,0.70292,0.60893,0.66827,0.53231,1.69721,1.51153,1.72223,0.008317,0.008317,0.008317
53,99690.2,1.84846,1.7571,1.72479,0.68737,0.63164,0.666,0.53141,1.69016,1.50445,1.72169,0.008284,0.008284,0.008284
54,101475,1.84884,1.76199,1.72215,0.67637,0.62314,0.66718,0.53376,1.68299,1.5028,1.71982,0.008251,0.008251,0.008251
55,103250,1.85525,1.7475,1.72366,0.69302,0.60994,0.66909,0.53598,1.67677,1.5019,1.7191,0.008218,0.008218,0.008218
56,105041,1.84306,1.7362,1.72093,0.68242,0.62822,0.67376,0.53999,1.67886,1.4937,1.71778,0.008185,0.008185,0.008185
57,106863,1.83288,1.7237,1.71689,0.72113,0.61369,0.6753,0.54111,1.67909,1.48538,1.71807,0.008152,0.008152,0.008152
58,108678,1.84332,1.73283,1.71793,0.70067,0.61648,0.67426,0.54005,1.68307,1.48645,1.7201,0.008119,0.008119,0.008119
59,110504,1.82993,1.72135,1.71175,0.68529,0.62132,0.6715,0.53763,1.67769,1.49115,1.71938,0.008086,0.008086,0.008086
60,112330,1.8361,1.72187,1.71403,0.68558,0.63181,0.67549,0.54081,1.67621,1.4773,1.71919,0.008053,0.008053,0.008053
61,114145,1.8329,1.71797,1.71515,0.71587,0.60489,0.67738,0.54289,1.67376,1.48037,1.71781,0.00802,0.00802,0.00802
62,115959,1.83209,1.70394,1.71123,0.69037,0.62349,0.67865,0.54372,1.67282,1.47818,1.7161,0.007987,0.007987,0.007987
63,117771,1.81459,1.66827,1.71503,0.70824,0.61991,0.68322,0.54977,1.66517,1.4686,1.71388,0.007954,0.007954,0.007954
